x,y
47.6952008891,95.2411869282
44.6099759113,93.075835032
43.8563814822,94.08587177129999
41.5789293984,90.30356653870001
49.177418555900005,96.61053245379999
42.6522509813,90.5606397307
30.1233318217,81.1442953304
31.915519986,79.7904134869
27.887719357399998,75.4455759934
27.548234452600003,75.1647590544
20.209778163699998,67.5166420988
24.4434528292,54.4736551228
24.630830133099998,53.395738899799994
21.0379688969,49.829299645
27.106242931999997,54.7195531488
28.089617655300003,60.512212549
31.1357349152,61.4319127116
37.700837521,68.4184052804
43.3926884016,43.5975940692
51.2623974761,49.6665051258
43.2867129203,43.0568603208
55.9059162338,54.2526725342
50.198958948999994,52.2250295948
55.761587372,54.0305172396
58.3231396505,60.0310591646
70.171457528,70.2822212385
60.600276471,59.7533088802
63.7602750188,61.185641169600004
54.389495261899995,53.811901225
55.2412969947,52.593574626700004
49.070126750200004,48.896944681099995
46.0181190216,46.257723371800004
44.759587435600004,41.9746066134
51.6006241332,50.032466885299996
36.4658820182,35.5241876075
33.394798732699996,35.0168013145
37.580071574899996,38.8315722007
36.619722059000004,36.8114141094
36.1634664356,33.819314199000004
33.1677570349,31.247741167199997
42.6449829318,40.1543216386
47.2250252695,44.5756466185
48.392363003199996,50.3315285645
27.2451932001,29.8195074488
30.404314338800003,29.079539924099997
30.0807992865,27.5880255173
33.9806339675,35.0330581489
34.2506117649,34.4415865654
51.141183571400006,20.6183237784
49.899592066000004,19.5640835356
55.5898773424,26.2992451143
55.4820563581,22.8274662445
63.5729393821,32.9386176053
59.025077084799996,28.3220858801
62.4237785929,33.4865952868
47.849907703,48.556624645
52.2685616825,52.805240196099994
68.8510215758,39.573434273000004
65.6763960251,35.109315430100004
77.7468851148,47.371824113900004
80.352934115,47.80029888520001
60.337586485799996,63.0349593272
61.6587233282,64.1000234779
71.5450389858,72.657716331
49.0409566406,77.36258326779999
51.886888022200004,80.1136076892
57.968981435,85.35604573260001
54.855664646,83.7833976656
54.1331954613,83.7939960824
51.308825256800006,80.1363911553
61.120394384399994,88.7040529069
55.5638650304,85.81037514409999
55.044123361000004,83.5414106324
50.4441853247,78.1958883115
43.82770899810001,71.0470522123
37.7914323802,66.8546410275
29.292783111,59.79199693
32.1920969515,60.200650914700006
51.4339355233,99.2568672885
67.46413981180001,95.999963905
65.15070527569999,92.50263373680001
65.5834276962,93.5170609365
69.2889731377,99.57959112540001
81.26944055109999,80.635944933
78.5757448361,76.8157030942
74.1867734997,74.3442041467
72.622209414,74.5269656511
75.1415195918,73.81966846479999
75.168667839,73.9004448762
85.3242028911,55.38857882520001
84.090507598,56.301968006
86.2562238205,55.8309303793
92.5487933153,42.9019079116
90.34263450889999,37.7803861004
85.8191629042,37.5713861819
90.44181811370001,40.1331134204
92.0175590822,39.9179311324
95.2605278366,46.008830272
41.2902998033,42.3115524113
66.4313243161,36.5361097353
63.986346885799996,32.7134316129
61.269682090500005,29.3857240482
60.749389190900004,28.0517363383
64.6552305634,16.612276508599997
68.6382807138,18.508012896300002
65.77666515680001,16.7876560655
71.1341263421,19.3859575313
63.7231835039,14.521421195699999
73.00149407010001,24.0738125371
72.436657497,20.578345113599998
68.4127671225,19.9131265443
52.8583150204,20.2350610035
53.529952673400004,24.2419155845
50.759741052799995,18.0893946004
42.53480844,10.1698684594
41.5303978512,13.3962907452
46.714517991499996,15.6132744651
48.4506176492,16.2122782224
59.6326101247,7.05803719901
61.6185682473,13.410822718399999
48.8339891275,17.7259558674
45.3426531889,13.9088123935
42.4150122932,11.693781096099999
58.9347650647,9.36920121911
60.6836260407,10.632641556900001
54.811798368299996,6.56964870325
61.5868424253,11.0275858356
59.7160077628,11.519096861700001
58.416384011400005,5.645777483280001
59.243809528,10.5401420943
56.594364638500004,8.91734404523
68.4925132247,17.9873634289
65.0059431717,15.9126686464
63.9210367078,15.620961033199999
53.5129705438,5.8751095283599994
57.832806274300005,9.22238462333
31.032917439499997,28.9281418896
31.3332440932,32.5385694785
86.4015498466,38.7469331743
47.442111635399996,98.1843018589
46.2647413368,94.11619216129999
40.1638157437,87.44867234690001
